"Status","variable","total","west.indies","percent.all"
"Legal Permanent Resident","Atlanta.Sandy.Springs.Marietta..GA",43265,1633,0.0377441349820871
"Legal Permanent Resident","Baltimore.Towson..MD",16746,412,0.024602890242446
"Legal Permanent Resident","Bridgeport.Stamford.Norwalk..CT",9186,676,0.0735902460265622
"Legal Permanent Resident","Hartford.West.Hartford.East.Hartford..CT",8022,1134,0.141361256544503
"Legal Permanent Resident","Jacksonville..FL",6720,186,0.0276785714285714
"Legal Permanent Resident","Miami.Fort.Lauderdale.Pompano.Beach..FL",137854,7918,0.0574375788878088
"Legal Permanent Resident","New.York.Northern.New.Jersey.Long.Island..NY.NJ.PA",362652,15293,0.0421699039299383
"Legal Permanent Resident","Orlando.Kissimmee.Sanford..FL",20337,933,0.045876973004868
"Legal Permanent Resident","Philadelphia.Camden.Wilmington..PA.NJ.DE.MD",36772,1216,0.0330686391819863
"Legal Permanent Resident","Tampa.St..Petersburg.Clearwater..FL",17606,536,0.0304441667613314
"Naturalization","Atlanta.Sandy.Springs.Marietta..GA",28448,1417,0.0498101799775028
"Naturalization","Baltimore.Towson..MD",9745,328,0.033658286300667
"Naturalization","Bridgeport.Stamford.Norwalk..CT",6407,466,0.0727329483377556
"Naturalization","Cape.Coral.Fort.Myers..FL",4276,138,0.0322731524789523
"Naturalization","Hartford.West.Hartford.East.Hartford..CT",5054,628,0.124258013454689
"Naturalization","Jacksonville..FL",5668,139,0.0245236414961186
"Naturalization","Miami.Fort.Lauderdale.Pompano.Beach..FL",123562,6388,0.0516987423317849
"Naturalization","New.York.Northern.New.Jersey.Long.Island..NY.NJ.PA",223000,10674,0.0478654708520179
"Naturalization","Orlando.Kissimmee.Sanford..FL",17141,830,0.0484219123738405
"Naturalization","Philadelphia.Camden.Wilmington..PA.NJ.DE.MD",26103,847,0.0324483775811209
"Naturalization","Tampa.St..Petersburg.Clearwater..FL",15494,440,0.0283980895830644
"Naturalization","Virginia.Beach.Norfolk.Newport.News..VA.NC",3832,169,0.0441022964509395
