Place of birth,Population,Language,Students,ELLs
Afghanistan,599,Dari / Pashto / Pushto,33.33333333,8.333333333
Albania,4228,Albanian,1168.333333,348.3333333
Bulgaria,471,Bulgarian,4.666666667,0
Burma,209,Burmese / Karen,215,186
Cambodia,1971,Khmer(Cambodian),215.3333333,47
Cape Verde,1413,Creole-Cape Verdean,94,32.66666667
China,21500,Cantonese / Mandarin,2489.666667,479
Czechoslovakia,1432,Czech / Slovak,12,0
Denmark,590,Danish,15.33333333,5.666666667
Ethiopia / Eritrea,675,Amharic,5.333333333,2
Germany,9412,German,90.66666667,6.333333333
Ghana,3385,Twi/Fante / Akan,149,45.66666667
Greece,4334,Greek,122,8.333333333
Haiti,11391,Creole-Haitian,1672.333333,641.6666667
Hungary,1769,Hungarian,29.66666667,0
Iran,1743,Farsi,15.33333333,0
Italy,19267,Italian,98.33333333,4
Jamaica,32676,Patois / Patout,228.3333333,41
Japan,3074,Japanese,293,122.3333333
Kenya,670,Swahili,44,14.33333333
Korea,6883,Korean,445.6666667,61.66666667
Laos,2580,Lao,249.3333333,36.33333333
Liberia,685,Krahan,11,6.666666667
Lithuania,1066,Lithuanian,12.33333333,0
Macedonia,1041,Macedonian,6.666666667,4.333333333
Nepal,1975,Nepali,164.3333333,65
Netherlands,1527,Dutch,25.66666667,9
Nigeria,2638,Igbo / Yoruba / Hausa,34.66666666,0
Norway,452,Norwegian,19.33333333,12.33333333
Philippines,9647,Pilipino (Filipino),325,4.666666667
Poland,29865,Polish,2160.333333,413
Romania,2606,Rumanian,41.33333333,0
Russia,5416,Russian,661.6666667,106.3333333
Sierra Leone,187,Aku / Mondingo,7,0
South Africa,1538,Afrikaans,22.66666667,5.333333333
Sweden,1022,Swedish,53.33333333,8.666666667
Thailand,1492,Thai,37,0
Turkey,1741,Turkish,349.3333333,125
Ukraine,4131,Ukrainian,167.6666667,47.33333333
Uzbekistan,450,Uzb,2.333333333,0
Vietnam,8084,Vietnamese,1111.333333,255
India / Pakistan / Bangladesh,41275,Hindi / Gujarati / Urdu / Telugu / etc.,3981.333333,698.3333333
Bosnia / Croatia / Serbia,3125,Serbo-Croatian,607.3333333,153.3333333
